CALLE,SUPERFICIE,PRECIOUSD,PRECIOPESOS,USDM2,ANTIG,EN_GALERIA,COTIZ,TRIMESTRE,BARRIO,COMUNA
"ACUÑA DE FIGUEROA, FRANCISCO 1000",26,87000,5481000,3346,5,SI,63,PRIMER,ALMAGRO,5
"ACUÑA DE FIGUEROA, FRANCISCO 400",34,92000,5796000,2706,45,NO,63,PRIMER,ALMAGRO,5
"ACUÑA DE FIGUEROA, FRANCISCO 900",60,110000,6930000,1833,0,NO,63,PRIMER,ALMAGRO,5
"ACUÑA DE FIGUEROA, FRANCISCO 909",29,60000,3780000,2069,40,NO,63,PRIMER,ALMAGRO,5
BELGRANO 3800,334,380000,23940000,1138,65,NO,63,PRIMER,ALMAGRO,5
BILLINGHURST 100,212,270000,17010000,1274,45,NO,63,PRIMER,ALMAGRO,5
BILLINGHURST 900,114,350000,22050000,3070,5,NO,63,PRIMER,ALMAGRO,5
BOEDO 700,13,35000,2205000,2692,40,NO,63,PRIMER,ALMAGRO,5
"BRAVO, MARIO 600",42,90000,5670000,2143,40,NO,63,PRIMER,ALMAGRO,5
"BRAVO, MARIO 800",94,190000,11970000,2021,55,NO,63,PRIMER,ALMAGRO,5
"BRAVO, MARIO 800",34,87000,5481000,2559,35,NO,63,PRIMER,ALMAGRO,5
"BRAVO, MARIO 900",95,170000,10710000,1789,50,NO,63,PRIMER,ALMAGRO,5
"BRAVO, MARIO 900",40,145000,9135000,3625,25,NO,63,PRIMER,ALMAGRO,5
BULNES 100,47,78000,4914000,1660,0,NO,63,PRIMER,ALMAGRO,5
BULNES 1200,320,425000,26775000,1328,90,NO,63,PRIMER,ALMAGRO,5
BULNES 200,62,165000,10395000,2661,0,NO,63,PRIMER,ALMAGRO,5
BULNES 300,111,180000,11340000,1622,1,NO,63,PRIMER,ALMAGRO,5
"CASTRO, BARROS 100",68,155000,9765000,2279,0,NO,63,PRIMER,ALMAGRO,5
COLOMBRES 100,25,75000,4725000,3000,40,NO,63,PRIMER,ALMAGRO,5
COLOMBRES 185,72,129000,8127000,1792,45,NO,63,PRIMER,ALMAGRO,5
CORDOBA 3900,250,860000,54180000,3440,5,NO,63,PRIMER,ALMAGRO,5
CORRIENTES 3600,2000,1290000,81270000,645,88,NO,63,PRIMER,ALMAGRO,5
CORRIENTES 3987,8,25000,1575000,3125,35,NO,63,PRIMER,ALMAGRO,5
CORRIENTES 4200,560,1200000,75600000,2143,0,NO,63,PRIMER,ALMAGRO,5
CORRIENTES 4500,109,218000,13734000,2000,0,NO,63,PRIMER,ALMAGRO,5
DIAZ VELEZ 3600,29,84000,5292000,2897,50,NO,63,PRIMER,ALMAGRO,5
DIAZ VELEZ 3700,18,69000,4347000,3833,40,NO,63,PRIMER,ALMAGRO,5
DIAZ VELEZ 3793,55,145000,9135000,2636,27,NO,63,PRIMER,ALMAGRO,5
DIAZ VELEZ 4320,50,150000,9450000,3000,26,NO,63,PRIMER,ALMAGRO,5
DON BOSCO 3800,1160,950000,59850000,819,0,NO,63,PRIMER,ALMAGRO,5
GALLO 400,102,200000,12600000,1961,20,NO,63,PRIMER,ALMAGRO,5
GASCON 200,684,1450000,91350000,2120,40,NO,63,PRIMER,ALMAGRO,5
GUARDIA VIEJA 4600,95,485000,30555000,5105,0,NO,63,PRIMER,ALMAGRO,5
HUMAHUACA 3700,60,170000,10710000,2833,0,NO,63,PRIMER,ALMAGRO,5
HUMAHUACA 4200,18,54000,3402000,3000,50,NO,63,PRIMER,ALMAGRO,5
LAVALLE 3400,478,750000,47250000,1569,0,NO,63,PRIMER,ALMAGRO,5
LAVALLE 3500,224,620000,39060000,2768,0,NO,63,PRIMER,ALMAGRO,5
LAVALLE 3900,59,125000,7875000,2119,50,NO,63,PRIMER,ALMAGRO,5
LEZICA 4100,77,83000,5229000,1078,40,NO,63,PRIMER,ALMAGRO,5
LEZICA 4300,32,95000,5985000,2969,0,NO,63,PRIMER,ALMAGRO,5
LEZICA 4300,32,100000,6300000,3125,11,NO,63,PRIMER,ALMAGRO,5
"MARMOL, JOSE 100",27,84000,5292000,3111,0,NO,63,PRIMER,ALMAGRO,5
"MARMOL, JOSE 159",104,115000,7245000,1106,44,NO,63,PRIMER,ALMAGRO,5
MAZA 200,24,49000,3087000,2042,10,NO,63,PRIMER,ALMAGRO,5
MAZA 30,253,550000,34650000,2174,0,NO,63,PRIMER,ALMAGRO,5
MAZA 800,145,220000,13860000,1517,45,NO,63,PRIMER,ALMAGRO,5
MEDRANO 100,54,185000,11655000,3426,25,NO,63,PRIMER,ALMAGRO,5
MEDRANO 369,69,84500,5323500,1225,50,NO,63,PRIMER,ALMAGRO,5
MEDRANO 400,391,630000,39690000,1611,90,NO,63,PRIMER,ALMAGRO,5
MEDRANO 500,180,440000,27720000,2444,45,NO,63,PRIMER,ALMAGRO,5
MEDRANO 600,337,295000,18585000,875,51,NO,63,PRIMER,ALMAGRO,5
MEDRANO 900,168,499000,31437000,2970,0,NO,63,PRIMER,ALMAGRO,5
"MITRE, BARTOLOME 3400",115,155000,9765000,1348,0,NO,63,PRIMER,ALMAGRO,5
"MITRE, BARTOLOME 4130",61,75000,4725000,1230,0,NO,63,PRIMER,ALMAGRO,5
MORENO 3600,32,66000,4158000,2062,40,NO,63,PRIMER,ALMAGRO,5
MUÑIZ 400,80,130000,8190000,1625,50,NO,63,PRIMER,ALMAGRO,5
POTOSI 3800,20,85000,5355000,4250,0,NO,63,PRIMER,ALMAGRO,5
PRINGLES 1193,70,105000,6615000,1500,40,NO,63,PRIMER,ALMAGRO,5
PRINGLES 600,36,120000,7560000,3333,0,NO,63,PRIMER,ALMAGRO,5
PRINGLES 600,35,120000,7560000,3429,0,NO,63,PRIMER,ALMAGRO,5
PRINGLES 700,70,105000,6615000,1500,45,NO,63,PRIMER,ALMAGRO,5
PRINGLES 900,20,72000,4536000,3600,40,NO,63,PRIMER,ALMAGRO,5
RIVADAVIA 3500,130,209000,13167000,1608,35,NO,63,PRIMER,ALMAGRO,5
RIVADAVIA 3647,48,400000,25200000,8333,0,NO,63,PRIMER,ALMAGRO,5
RIVADAVIA 3900,55,380000,23940000,6909,30,NO,63,PRIMER,ALMAGRO,5
RIVADAVIA 4003,73,400000,25200000,5479,0,NO,63,PRIMER,ALMAGRO,5
RIVADAVIA 4200,90,175000,11025000,1944,0,NO,63,PRIMER,ALMAGRO,5
"SALGUERO, JERONIMO 300",289,280000,17640000,969,40,NO,63,PRIMER,ALMAGRO,5
"SALGUERO, JERONIMO 800",155,245000,15435000,1581,35,NO,63,PRIMER,ALMAGRO,5
"SALGUERO, JERONIMO 800",32,138000,8694000,4312,0,NO,63,PRIMER,ALMAGRO,5
SANCHEZ DE BUSTAMANTE 500,23,80000,5040000,3478,25,SI,63,PRIMER,ALMAGRO,5
SANCHEZ DE BUSTAMANTE 580,23,75000,4725000,3261,20,NO,63,PRIMER,ALMAGRO,5
SANCHEZ DE LORIA 472,106,165000,10395000,1557,60,NO,63,PRIMER,ALMAGRO,5
SANCHEZ DE LORIA 600,617,650000,40950000,1053,39,NO,63,PRIMER,ALMAGRO,5
SANCHEZ DE LORIA 800,210,110000,6930000,524,62,NO,63,PRIMER,ALMAGRO,5
SARMIENTO 4500,114,260000,16380000,2281,0,NO,63,PRIMER,ALMAGRO,5
TREINTA Y TRES ORIENTALES 700,238,245000,15435000,1029,0,NO,63,PRIMER,ALMAGRO,5
VENEZUELA 3700,450,750000,47250000,1667,40,NO,63,PRIMER,ALMAGRO,5
VENEZUELA 3937,180,320000,20160000,1778,0,NO,63,PRIMER,ALMAGRO,5
VENEZUELA 4200,40,89000,5607000,2225,50,NO,63,PRIMER,ALMAGRO,5
YAPEYU 100,86,260000,16380000,3023,0,NO,63,PRIMER,ALMAGRO,5
YAPEYU 384,55,82000,5166000,1491,20,NO,63,PRIMER,ALMAGRO,5
YATAY 1024,30,139000,8757000,4633,0,NO,63,PRIMER,ALMAGRO,5
YATAY 200,109,189000,11907000,1734,40,NO,63,PRIMER,ALMAGRO,5
"YRIGOYEN, HIPOLITO 3400",185,290000,18270000,1568,45,NO,63,PRIMER,ALMAGRO,5
"YRIGOYEN, HIPOLITO 3400",56,169500,10678500,3027,40,NO,63,PRIMER,ALMAGRO,5
"YRIGOYEN, HIPOLITO 4100",44,130000,8190000,2955,70,NO,63,PRIMER,ALMAGRO,5
24 DE NOVIEMBRE 200,198,290000,18270000,1465,70,NO,63,PRIMER,BALVANERA,3
AGUERO 430,102,165000,10395000,1618,0,NO,63,PRIMER,BALVANERA,3
AGUERO 446,121,198000,12474000,1636,43,NO,63,PRIMER,BALVANERA,3
AGUERO 700,45,124900,7868700,2776,0,NO,63,PRIMER,BALVANERA,3
AGUERO 800,159,298000,18774000,1874,60,NO,63,PRIMER,BALVANERA,3
ALBERTI 200,260,300000,18900000,1154,100,NO,63,PRIMER,BALVANERA,3
ALBERTI 300,92,90000,5670000,978,0,NO,63,PRIMER,BALVANERA,3
"ALSINA, ADOLFO 1900",106,165000,10395000,1557,40,NO,63,PRIMER,BALVANERA,3
"ALSINA, ADOLFO 2100",908,793000,49959000,873,12,NO,63,PRIMER,BALVANERA,3
"ALSINA, ADOLFO 2701",142,169000,10647000,1190,0,NO,63,PRIMER,BALVANERA,3
"ALSINA, ADOLFO 2800",680,1100000,69300000,1618,80,NO,63,PRIMER,BALVANERA,3
"ALSINA, ADOLFO 2800",35,100000,6300000,2857,0,NO,63,PRIMER,BALVANERA,3
"ALSINA, ADOLFO 2800",35,120000,7560000,3429,0,NO,63,PRIMER,BALVANERA,3
"ANCHORENA, TOMAS M. DE, DR 2",39,84000,5292000,2154,60,SI,63,PRIMER,BALVANERA,3
"ANCHORENA, TOMAS M. DE, DR 300",114,148700,9368100,1304,48,SI,63,PRIMER,BALVANERA,3
"ANCHORENA, TOMAS M. DE, DR 300",114,165000,10395000,1447,0,SI,63,PRIMER,BALVANERA,3
"ANCHORENA, TOMAS M. DE, DR 600",130,195000,12285000,1500,50,SI,63,PRIMER,BALVANERA,3
"ANCHORENA, TOMAS M. DE, DR 600",52,115000,7245000,2212,45,NO,63,PRIMER,BALVANERA,3
"ANCHORENA, TOMAS M. DE, DR 600",33,119900,7553700,3633,1,SI,63,PRIMER,BALVANERA,3
AYACUCHO 685,55,105000,6615000,1909,50,NO,63,PRIMER,BALVANERA,3
AYACUCHO 800,123,250000,15750000,2033,50,NO,63,PRIMER,BALVANERA,3
AZCUENAGA 300,210,1430000,90090000,6810,40,NO,63,PRIMER,BALVANERA,3
AZCUENAGA 300,200,1450000,91350000,7250,45,NO,63,PRIMER,BALVANERA,3
AZCUENAGA 400,275,1100000,69300000,4000,20,NO,63,PRIMER,BALVANERA,3
AZCUENAGA 700,115,160000,10080000,1391,40,NO,63,PRIMER,BALVANERA,3
AZCUENAGA 700,127,180000,11340000,1417,45,NO,63,PRIMER,BALVANERA,3
BELGRANO 1900,12,87000,5481000,7250,80,NO,63,PRIMER,BALVANERA,3
BELGRANO 2300,455,699000,44037000,1536,80,NO,63,PRIMER,BALVANERA,3
BELGRANO 2400,455,699000,44037000,1536,80,NO,63,PRIMER,BALVANERA,3
BELGRANO 2600,67,280000,17640000,4179,0,NO,63,PRIMER,BALVANERA,3
BELGRANO 3200,107,99000,6237000,925,62,NO,63,PRIMER,BALVANERA,3
BELGRANO 3300,280,500000,31500000,1786,0,NO,63,PRIMER,BALVANERA,3
BOULOGNE SUR MER 300,140,250000,15750000,1786,0,NO,63,PRIMER,BALVANERA,3
BOULOGNE SUR MER 400,123,355000,22365000,2886,0,NO,63,PRIMER,BALVANERA,3
